,id,name,members,link
0,6569732,Pantalks - tech & non-tech talks @ Colab Zürich,2383,https://www.meetup.com/Pantalks-tech-non-tech-talks-Panter-AG-Zurich/
1,7717752,IxDA Zurich,278,https://www.meetup.com/IxDA-Zurich/
2,8170522,OpenTechSchool Zurich,2497,https://www.meetup.com/opentechschool-zurich/
3,8278642,Bitcoin Meetup Switzerland,7095,https://www.meetup.com/Bitcoin-Meetup-Switzerland/
4,10220112,Big Data Developers in Switzerland,2988,https://www.meetup.com/Big-Data-Developers-Switzerland/
5,11090922,GDG Zürich,1344,https://www.meetup.com/GDG-Zurich/
6,11102042,UX WIZARDS,755,https://www.meetup.com/uxhappyhour/
7,12710702,Angular Zürich,894,https://www.meetup.com/AngularZRH/
8,13186902,CoderDojo Zurich,446,https://www.meetup.com/Coder-Dojo-Zurich/
9,14243062,Swiss Perl Community Meetup,104,https://www.meetup.com/Swiss-Perl-Community-Meetup/
10,14427712,Zurich Julia Users Group,126,https://www.meetup.com/Zurich-Julia-User-Group/
11,18369817,Swiss Big Data User Group,971,https://www.meetup.com/swiss-big-data/
12,18405138,Zürich ReactJS Meetup,889,https://www.meetup.com/Zurich-ReactJS-Meetup/
