,id,rating_count,rating,address_1,city,localized_country_name,lon,lat
180,23494808,0,0.0,@Hauptbahnhof Zürich,Zürich,Switzerland,8.5394,47.377441
181,23945084,0,0.0,Zurich Main Stations,Zürich,Switzerland,8.5394,47.377441
182,583082,307,4.71,Zürich HB,Zürich,Switzerland,8.5394,47.37744
183,23540023,0,0.0,Hauptbahnhof Zürich,Zürich,Switzerland,8.5394,47.377441
184,24056210,0,0.0,Zurich HB,Zürich,Switzerland,8.5394,47.377441
185,24056336,0,0.0,Zurich HB,Zürich,Switzerland,8.5394,47.377441
186,20351692,1,4.0,Zürich Hauptbahnhof,8001 Zürich,Switzerland,8.5394,47.377441
187,21190582,0,0.0,Central Station,Zürich,Switzerland,8.5394,47.377441
188,22832822,89,4.85,Zurich main station,Zürich,Switzerland,8.5394,47.377441
189,24048271,2,4.5,zurich hauptbahnhof,Zürich,Switzerland,8.5394,47.377441
190,23736911,8,4.75,ZURICH HB,Zürich,Switzerland,8.5394,47.377441
191,24004965,2,5.0,Zürich HB,Zürich,Switzerland,8.5394,47.377441
192,22025562,2,5.0,Zurich main station,Zürich,Switzerland,8.5394,47.377441
193,21649672,4,4.75,Zurich main station,Zürich,Switzerland,8.5394,47.377441
194,23986727,0,0.0,Zürich HB,Zürich,Switzerland,8.5394,47.377441
195,23251212,3,4.33,"Austellungsstrasse 21, Zürich, www.kauzig.ch",Zürich,Switzerland,8.53688,47.38151
196,22129662,1,5.0,"Zollstrasse 20, 8005",Zürich,Switzerland,8.536154,47.380051
197,17994332,0,0.0,"Bahnhofplatz (train station, 4th floor)",Zürich,Switzerland,8.538324,47.377651
198,21528122,7,5.0,Bahnhofplatz,Zürich,Switzerland,8.53933,47.37743
199,8271722,1,3.0,Ausstellungsstrasse 16,Zürich,Switzerland,8.537098,47.381733
