,id,name,event_url,rsvp_limit,yes_rsvp_count,time,city,group_id,group_urlname
132,261837397,UX Meetup Juli - UX im Novartis Institutes for BioMedical Research,https://www.meetup.com/UX-Basel-Meetups/events/261837397/,74.0,51,1562171400000,Basel,30666972,UX-Basel-Meetups
133,262226764,Conférence UX : évaluation d'interface et dimensions cognitives,https://www.meetup.com/UX-FLUPA-Alsace/events/262226764/,,3,1562171400000,Mulhouse,29669145,UX-FLUPA-Alsace
134,262249606,XIV. Go Meetup ,https://www.meetup.com/Zurich-Gophers/events/262249606/,60.0,43,1562173200000,Zürich,17314342,Zurich-Gophers
135,259623370,Special Summer Meetup: Gutes Klima,https://www.meetup.com/Mobilitats-Meetup/events/259623370/,50.0,7,1562244300000,Köniz,27603198,Mobilitats-Meetup
136,262090161,Meetup July - Angular Basics (Free Mini-Training),https://www.meetup.com/Angular-Basel/events/262090161/,20.0,10,1562248800000,Basel,20441554,Angular-Basel
137,261699737,Embrace agility – creating a responsive organization,https://www.meetup.com/Agile-Baden-CH/events/261699737/,,11,1562254200000,Baden,31946434,Agile-Baden-CH
138,262285446,Elementor Zürich - Sommertreffen,https://www.meetup.com/Zurich-Elementor/events/262285446/,8.0,3,1562256000000,Zürich,32140009,Zurich-Elementor
139,262220965,NLP Picnic,https://www.meetup.com/NLP-Zurich/events/262220965/,,43,1562256000000,Zürich,23400690,NLP-Zurich
140,261701031,CENIT and IBM Process Automation @Stuttgart,https://www.meetup.com/CENIT-and-IBM-Process-Automation-Stuttgart/events/261701031/,,10,1562256000000,Stuttgart,31978550,CENIT-and-IBM-Process-Automation-Stuttgart
141,262197657,Kafka Hack Night,https://www.meetup.com/Bern-Hack-Night/events/262197657/,35.0,9,1562256000000,Bern,19888506,Bern-Hack-Night
142,262122365,WebDev Meetup Chur - Fiirobigsbiar Edition,https://www.meetup.com/WebDev-Chur/events/262122365/,16.0,4,1562256000000,,27837817,WebDev-Chur
143,262000623,All about Cloud Native,https://www.meetup.com/Microservices-Zurich/events/262000623/,50.0,26,1562257800000,Wallisellen / Zürich,19464889,Microservices-Zurich
144,262064954,"Summer Dev Roadshow: VS Code, DevOps@Microsoft & les nouveaux toolings d'Angular",https://www.meetup.com/MugStrasbourg/events/262064954/,,17,1562259600000,Strasbourg,9877462,MugStrasbourg
145,260938034,12th SDN workshop,https://www.meetup.com/SDN-Switzerland/events/260938034/,,12,1562308200000,Zürich,18933386,SDN-Switzerland
146,261830032,Westhive Summerfäscht,https://www.meetup.com/Westhive-Innovation-Ecosystem/events/261830032/,,7,1562335200000,Zürich,30385620,Westhive-Innovation-Ecosystem
147,nrwbrqyzkbjb,Monthly GDG-Meetup,https://www.meetup.com/GDG-Freiburg/events/260394838/,12.0,3,1562400000000,Freiburg,20119936,GDG-Freiburg
148,261620548,22nd Swiss Big Data User Group Meetup,https://www.meetup.com/swiss-big-data/events/261620548/,50.0,30,1562599800000,Zürich,18369817,swiss-big-data
149,259700830,Trust Square Lecture Series - What are Tokens? A Legal Analysis,https://www.meetup.com/Trust-Square-Blockchain-Swiss-Made/events/259700830/,,14,1562601600000,Zürich,28411105,Trust-Square-Blockchain-Swiss-Made
150,261656198,Meetup #3: Branding and UX für Voice User Interfaces,https://www.meetup.com/Zurich-Voice-Meetup/events/261656198/,80.0,67,1562603400000,Zürich,30538328,Zurich-Voice-Meetup
151,261676815,Save the date CSM Formal Austausch,https://www.meetup.com/Zurich-Customer-Success-Austausch/events/261676815/,,4,1562688000000,,23965165,Zurich-Customer-Success-Austausch
152,lwrxnqyzkbmb,Monthly Bitcoin Meetup,https://www.meetup.com/Blockchain-Bern/events/262250626/,,3,1562691600000,Bern,24745519,Blockchain-Bern
153,tflhdqyzkbnb,Scrum Club Dornbirn,https://www.meetup.com/Digitale-Initiativen/events/262265819/,,6,1562776200000,Dornbirn,21781853,Digitale-Initiativen
154,261862930,WWD Meetup Juli,https://www.meetup.com/WintiWebDev-Talks/events/261862930/,,8,1562776200000,,18532052,WintiWebDev-Talks
155,256180856,Future of Mobility - Powered by Blockchain and Air-Mobility Infrastructure ,https://www.meetup.com/Disrupt-Meetup-Future-of-Mobility-Stuttgart/events/256180856/,,65,1562778000000,Stuttgart,30472855,Disrupt-Meetup-Future-of-Mobility-Stuttgart
156,261318724,How start-cons uses Salesforce (for Sales),https://www.meetup.com/Salesforce-User/events/261318724/,,4,1562860800000,,28667740,Salesforce-User
157,262139621,how to increase you agile competences *free of cost*,https://www.meetup.com/agile-Mindset-Zurich/events/262139621/,12.0,3,1562862600000,Zürich,30490660,agile-Mindset-Zurich
158,kckcwqyzkbpb,GDG & WTM Stammtisch,https://www.meetup.com/GDG-Zurich/events/260905846/,15.0,5,1562864400000,Zürich,11090922,GDG-Zurich
159,261378115,Atelier d'entraide ,https://www.meetup.com/WordPress-Neuchatel/events/261378115/,,4,1562864400000,Neuchâtel,31664334,WordPress-Neuchatel
160,qcddnqyzkbqb,Crypto Friday - Wine & Vision,https://www.meetup.com/CV-Labs-Switzerland/events/261813583/,90.0,4,1562943600000,Zug,27342970,CV-Labs-Switzerland
161,262123688,"APEXmeetupStuttgart meets Star-Wars, News from Kscope19 and BBQ-Time!",https://www.meetup.com/orclapex-Stuttgart/events/262123688/,,14,1563375600000,Stuttgart,14332822,orclapex-Stuttgart
162,261864696,Die bunte Welt des Human Task Management,https://www.meetup.com/Camunda-User-Group-Stuttgart/events/261864696/,,7,1563382800000,Leinfelden-Echterdingen,30962709,Camunda-User-Group-Stuttgart
163,jqfsxqyzkbxb,Neos CMS - Monthly regulars' table in Zurich,https://www.meetup.com/Neos-CMS-and-Flow-Framework-Meetup-Swiss/events/261616507/,20.0,4,1563465600000,Zürich,20044220,Neos-CMS-and-Flow-Framework-Meetup-Swiss
164,262122939,ngStuttgart Summer Meetup,https://www.meetup.com/angular-users-stuttgart/events/262122939/,,34,1563469200000,Stuttgart,23746018,angular-users-stuttgart
165,262312285,IBM Blockchain for Business @ Stuttgart S01E02,https://www.meetup.com/IBM-meets-Blockchain-for-Business-Stuttgart/events/262312285/,50.0,5,1563895800000,Ehningen,31003656,IBM-meets-Blockchain-for-Business-Stuttgart
166,260737013,Virtuelle Techniken im industriellen Service,https://www.meetup.com/Stuttgart-B2B-Customer-Success-Management-Meetup/events/260737013/,40.0,13,1563969600000,Stuttgart,25371698,Stuttgart-B2B-Customer-Success-Management-Meetup
167,261926585,Angular PWA : the technology & pitfalls ,https://www.meetup.com/Zurich-Progressive-Web-App-Meetup/events/261926585/,,4,1563985800000,Zürich,27120674,Zurich-Progressive-Web-App-Meetup
