,id,name,members,link,topics
20,16379942,WebMeetup Bodensee #t3see,313,https://www.meetup.com/web-meetup-bodensee/,"[{'urlkey': 'opensource', 'name': 'Open Source', 'id': 563}, {'urlkey': 'webdesign', 'name': 'Web Design', 'id': 659}, {'urlkey': 'softwaredev', 'name': 'Software Development', 'id': 3833}, {'urlkey': 'newtech', 'name': 'New Technology', 'id': 9696}, {'urlkey': 'internetpro', 'name': 'Internet Professionals', 'id': 10102}, {'urlkey': 'web', 'name': 'Web Technology', 'id': 10209}, {'urlkey': 'technology', 'name': 'Technology', 'id': 10579}, {'urlkey': 'web-development', 'name': 'Web Development', 'id': 15582}, {'urlkey': 'computer-science', 'name': 'Computer Science', 'id': 21751}, {'urlkey': 'data-analytics', 'name': 'Data Analytics', 'id': 30928}, {'urlkey': 'saas-software-as-a-service', 'name': 'SaaS (Software as a Service)', 'id': 33089}, {'urlkey': 'computer-programming', 'name': 'Computer programming', 'id': 48471}]"
21,18175332,Bern Scala User Group,132,https://www.meetup.com/Bern-Scala-User-Group/,"[{'urlkey': 'softwaredev', 'name': 'Software Development', 'id': 3833}, {'urlkey': 'newtech', 'name': 'New Technology', 'id': 9696}, {'urlkey': 'web', 'name': 'Web Technology', 'id': 10209}, {'urlkey': 'scala', 'name': 'Scala', 'id': 17936}, {'urlkey': 'functional-programming', 'name': 'Functional Programming', 'id': 22792}, {'urlkey': 'computer-programming', 'name': 'Computer programming', 'id': 48471}, {'urlkey': 'jvm-languages', 'name': 'JVM Languages', 'id': 107750}, {'urlkey': 'scala-akka', 'name': 'Scala Akka', 'id': 151917}, {'urlkey': 'distributed-scala-programming', 'name': 'Distributed Scala Programming', 'id': 161129}, {'urlkey': 'play-framework', 'name': 'Play Framework', 'id': 420862}, {'urlkey': 'akka', 'name': 'Akka', 'id': 517602}, {'urlkey': 'apache-spark', 'name': 'Apache Spark', 'id': 1471442}]"
22,18405138,Zürich ReactJS Meetup,897,https://www.meetup.com/Zurich-ReactJS-Meetup/,"[{'urlkey': 'javascript', 'name': 'JavaScript', 'id': 7029}, {'urlkey': 'web', 'name': 'Web Technology', 'id': 10209}, {'urlkey': 'web-development', 'name': 'Web Development', 'id': 15582}, {'urlkey': 'computer-programming', 'name': 'Computer programming', 'id': 48471}, {'urlkey': 'javascript-libraries', 'name': 'JavaScript Libraries', 'id': 56555}, {'urlkey': 'front-end-development', 'name': 'Front-end Development', 'id': 100479}]"
23,18453167,#PoDojo Studio ZH,405,https://www.meetup.com/PoDojo-Studio-Zurich/,"[{'urlkey': 'innovation', 'name': 'Innovation', 'id': 1954}, {'urlkey': 'productdesign', 'name': 'Product Design', 'id': 2993}, {'urlkey': 'softwaredev', 'name': 'Software Development', 'id': 3833}, {'urlkey': 'business-strategy', 'name': 'Business Strategy', 'id': 17635}, {'urlkey': 'entrepreneurship', 'name': 'Entrepreneurship', 'id': 19882}, {'urlkey': 'startup-businesses', 'name': 'Startup Businesses', 'id': 21681}, {'urlkey': 'lean-startup', 'name': 'Lean Startup', 'id': 38660}, {'urlkey': 'product-development', 'name': 'Product Development', 'id': 42012}, {'urlkey': 'new-product-development-software-tech', 'name': 'New Product Development: Software & Tech', 'id': 62946}, {'urlkey': 'product-management', 'name': 'Product Management', 'id': 93740}, {'urlkey': 'technology-startups', 'name': 'Technology Startups', 'id': 108403}, {'urlkey': 'internet-startups', 'name': 'Internet Startups', 'id': 128595}]"
24,18512629,Zurich Drupal User Group Meetup,352,https://www.meetup.com/Zurich-Drupal-Meetup/,"[{'urlkey': 'php', 'name': 'PHP', 'id': 455}, {'urlkey': 'opensource', 'name': 'Open Source', 'id': 563}, {'urlkey': 'webdesign', 'name': 'Web Design', 'id': 659}, {'urlkey': 'css', 'name': 'CSS', 'id': 1973}, {'urlkey': 'javascript', 'name': 'JavaScript', 'id': 7029}, {'urlkey': 'web', 'name': 'Web Technology', 'id': 10209}, {'urlkey': 'drupal', 'name': 'Drupal', 'id': 10358}, {'urlkey': 'web-development', 'name': 'Web Development', 'id': 15582}, {'urlkey': 'seo-search-engine-optimization', 'name': 'SEO (Search Engine Optimization)', 'id': 23199}, {'urlkey': 'cms', 'name': 'CMS (Content Management Systems)', 'id': 28990}, {'urlkey': 'html5', 'name': 'HTML5', 'id': 78565}, {'urlkey': 'web-services', 'name': 'Web Services', 'id': 99927}, {'urlkey': 'drupal-developers', 'name': 'Drupal Developers', 'id': 162542}, {'urlkey': 'drupal-modules', 'name': 'Drupal Modules', 'id': 162544}, {'urlkey': 'symfony2', 'name': 'Symfony2', 'id': 308411}]"
25,18519439,Meetup of Test,445,https://www.meetup.com/Meetup-of-Test/,"[{'urlkey': 'test-driven-development', 'name': 'Test Driven Development', 'id': 25435}, {'urlkey': 'agile-testing', 'name': 'Agile Testing', 'id': 30996}, {'urlkey': 'software-qa-and-testing', 'name': 'Software QA and Testing', 'id': 42277}, {'urlkey': 'test-automation', 'name': 'Test Automation', 'id': 65172}, {'urlkey': 'software-quality', 'name': 'Software Quality', 'id': 65173}, {'urlkey': 'quality-assurance', 'name': 'Quality Assurance', 'id': 70576}, {'urlkey': 'software-testing', 'name': 'Software Testing', 'id': 166904}, {'urlkey': 'new-testing-techniques', 'name': 'New Testing Techniques', 'id': 637682}, {'urlkey': 'software-qa-tools', 'name': 'Software QA Tools', 'id': 637702}, {'urlkey': 'innovations-in-software-testing', 'name': 'Innovations in Software Testing', 'id': 657972}]"
26,18532052,WintiWebDev Talks,436,https://www.meetup.com/WintiWebDev-Talks/,"[{'urlkey': 'webstandards', 'name': 'Web Standards', 'id': 417}, {'urlkey': 'webdesign', 'name': 'Web Design', 'id': 659}, {'urlkey': 'css', 'name': 'CSS', 'id': 1973}, {'urlkey': 'softwaredev', 'name': 'Software Development', 'id': 3833}, {'urlkey': 'javascript', 'name': 'JavaScript', 'id': 7029}, {'urlkey': 'newtech', 'name': 'New Technology', 'id': 9696}, {'urlkey': 'internetpro', 'name': 'Internet Professionals', 'id': 10102}, {'urlkey': 'web-performance', 'name': 'Web Performance', 'id': 15091}, {'urlkey': 'web-development', 'name': 'Web Development', 'id': 15582}, {'urlkey': 'mobile-development', 'name': 'Mobile Development', 'id': 21441}, {'urlkey': 'computer-programming', 'name': 'Computer programming', 'id': 48471}, {'urlkey': 'html5', 'name': 'HTML5', 'id': 78565}, {'urlkey': 'javascript-frameworks', 'name': 'JavaScript Frameworks', 'id': 85951}, {'urlkey': 'front-end-development', 'name': 'Front-end Development', 'id': 100479}]"
27,18778685,Agile Breakfast Luzern von swissICT,475,https://www.meetup.com/Agile-Breakfast-Luzern/,"[{'urlkey': 'softwaredev', 'name': 'Software Development', 'id': 3833}, {'urlkey': 'agile-project-management', 'name': 'Agile Project Management', 'id': 21549}, {'urlkey': 'lean-project-management', 'name': 'Lean Project Management', 'id': 118991}, {'urlkey': 'agile-coaching', 'name': 'Agile Coaching', 'id': 122939}, {'urlkey': 'agile-leadership', 'name': 'Agile Leadership', 'id': 438272}, {'urlkey': 'agile-transformation', 'name': 'Agile Transformation', 'id': 438282}, {'urlkey': 'agile-and-scrum', 'name': 'Agile and Scrum', 'id': 1414642}]"
28,18870242,Stuttgart Industrie 4.0 und IoT Meetup,2322,https://www.meetup.com/Stuttgart-Industrie-4-0-und-IoT-Meetup/,"[{'urlkey': 'electronics', 'name': 'Electronics', 'id': 7848}, {'urlkey': 'newtech', 'name': 'New Technology', 'id': 9696}, {'urlkey': 'technology', 'name': 'Technology', 'id': 10579}, {'urlkey': 'hacking', 'name': 'Hacking', 'id': 21123}, {'urlkey': 'startup-businesses', 'name': 'Startup Businesses', 'id': 21681}, {'urlkey': 'internet-of-things', 'name': 'Internet of Things', 'id': 79740}, {'urlkey': 'machine-to-machine', 'name': 'Machine-to-Machine', 'id': 97440}, {'urlkey': 'technology-startups', 'name': 'Technology Startups', 'id': 108403}, {'urlkey': 'm2m-devices', 'name': 'M2M Devices', 'id': 118575}, {'urlkey': 'iot-hacking', 'name': 'IOT hacking', 'id': 796962}, {'urlkey': 'smart-sensors', 'name': 'Smart Sensors', 'id': 871222}, {'urlkey': 'm2m', 'name': 'M2M', 'id': 1260942}, {'urlkey': 'industrie-4-0', 'name': 'Industrie 4.0', 'id': 1483952}, {'urlkey': 'industrial-internet-of-things', 'name': 'Industrial Internet of Things', 'id': 1505320}, {'urlkey': 'machine-data', 'name': 'Machine Data', 'id': 1506207}]"
29,18983021,Hackergarten Bern,342,https://www.meetup.com/Hackergarten-Bern/,"[{'urlkey': 'java', 'name': 'Java', 'id': 189}, {'urlkey': 'opensource', 'name': 'Open Source', 'id': 563}, {'urlkey': 'softwaredev', 'name': 'Software Development', 'id': 3833}, {'urlkey': 'javascript', 'name': 'JavaScript', 'id': 7029}, {'urlkey': 'newtech', 'name': 'New Technology', 'id': 9696}, {'urlkey': 'web', 'name': 'Web Technology', 'id': 10209}, {'urlkey': 'web-development', 'name': 'Web Development', 'id': 15582}, {'urlkey': 'programming-languages', 'name': 'Programming Languages', 'id': 17628}, {'urlkey': 'scala', 'name': 'Scala', 'id': 17936}, {'urlkey': 'hacking', 'name': 'Hacking', 'id': 21123}, {'urlkey': 'mobile-development', 'name': 'Mobile Development', 'id': 21441}, {'urlkey': 'computer-programming', 'name': 'Computer programming', 'id': 48471}, {'urlkey': 'html5', 'name': 'HTML5', 'id': 78565}]"
